Exam,Unit,Subject,Month,Year,Paper,Number,Section,Topic,Difficulty,Correct,Question,Answer A,Answer B,Answer C,Answer D,Validated Question Code,Validated Answer A Code,Validated Answer B Code,Validated Answer C Code,Validated Answer D Code,Q,A,B,C,D,Question Diagram Path Prefix,A Diagram Path Prefix,B Diagram Path Prefix,C Diagram Path Prefix,D Diagram Path Prefix
cape,2,PureMathematics,May,2024,1,4,Complex Numbers and Calculus 2,Complex Numbers,1,B,\text{The modulus of the complex number } ( 6 + 3i ) \text{ is},-3,3 \sqrt{5},5 \sqrt{3},9 \sqrt{5},"LaTeX(""The modulus of the complex number $( 6 + 3i )$ is"").parsingMode(.onlyEquations)","LaTeX(""( 3 )"").parsingMode(.onlyEquations)","LaTeX(""$3 \\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$5 \\sqrt{3}$"").parsingMode(.onlyEquations)","LaTeX(""$9 \\sqrt{5}$"").parsingMode(.onlyEquations)",The modulus of the complex number $( 6 + 3i )$ is,-3,$3 \sqrt{5}$,$5 \sqrt{3}$,$9 \sqrt{5}$,cape_2_puremathematics_may_2024_1_4,cape_2_puremathematics_may_2024_1_4_a,cape_2_puremathematics_may_2024_1_4_b,cape_2_puremathematics_may_2024_1_4_c,cape_2_puremathematics_may_2024_1_4_d
cape,2,PureMathematics,May,2024,1,9,Complex Numbers and Calculus 2,Integration 2,2,B,( \int \frac{1}{1+9x^2} dx ) \text{ is},\frac{1}{9} \tan^{(-$2)} x + c,\frac{1}{3} \tan^{(-$2)} 3x + c,\frac{1}{3} \tan^{(-$2)} \frac{x}{3} + c,\frac{1}{9} \tan^{(-$2)} 3x + c,"LaTeX(""$( \\int \\frac{1}{1+9x^2} dx )$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{9} \\tan^{(-$2)} x + c$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{3} \\tan^{(-$2)} 3x + c$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{3} \\tan^{(-$2)} \\frac{x}{3} + c$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{9} \\tan^{(-$2)} 3x + c$"").parsingMode(.onlyEquations)",$( \int \frac{1}{1+9x^2} dx )$ is,$\frac{1}{9} \tan^{(-$2)} x + c$,$\frac{1}{3} \tan^{(-$2)} 3x + c$,$\frac{1}{3} \tan^{(-$2)} \frac{x}{3} + c$,$\frac{1}{9} \tan^{(-$2)} 3x + c$,cape_2_puremathematics_may_2024_1_9,cape_2_puremathematics_may_2024_1_9_a,cape_2_puremathematics_may_2024_1_9_b,cape_2_puremathematics_may_2024_1_9_c,cape_2_puremathematics_may_2024_1_9_d
cape,2,PureMathematics,May,2024,1,11,Complex Numbers and Calculus 2,Integration 2,3,C,"\text{Given that } ( \cos 2x = 1 - 2 \sin^2 x ), ( \int_0^\pi \sin^2 (\frac{x}{4}) dx ) \text{ is}",2 - \pi,\pi - 2,\frac{\pi}{2} - 1,1 - \frac{\pi}{2},"LaTeX(""Given that $( \\cos 2x = 1 - 2 \\sin^2 x ), ( \\int_0^\\pi \\sin^2 (\\frac{x}{4}) dx )$ is"").parsingMode(.onlyEquations)","LaTeX(""$2 - \\pi$"").parsingMode(.onlyEquations)","LaTeX(""$\\pi - 2$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{\\pi}{2} - 1$"").parsingMode(.onlyEquations)","LaTeX(""$1 - \\frac{\\pi}{2}$"").parsingMode(.onlyEquations)","Given that $( \cos 2x = 1 - 2 \sin^2 x ), ( \int_0^\pi \sin^2 (\frac{x}{4}) dx )$ is",$2 - \pi$,$\pi - 2$,$\frac{\pi}{2} - 1$,$1 - \frac{\pi}{2}$,cape_2_puremathematics_may_2024_1_11,cape_2_puremathematics_may_2024_1_11_a,cape_2_puremathematics_may_2024_1_11_b,cape_2_puremathematics_may_2024_1_11_c,cape_2_puremathematics_may_2024_1_11_d
cape,2,PureMathematics,May,2024,1,21,"Sequences, Series and Approximations",Series,2,D,\text{The series } ( \sum_{(n=0)}^{\infty} \frac{5}{2^n} ) \text{ converges to the value},\frac{1}{10},\frac{5}{2},-5,-10,"LaTeX(""The series $( \\sum_{(n=0)}^{\\infty} \\frac{5}{2^n} )$ converges to the value"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{10}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{5}{2}$"").parsingMode(.onlyEquations)","LaTeX(""( 5 )"").parsingMode(.onlyEquations)","LaTeX(""( 10 )"").parsingMode(.onlyEquations)",The series $( \sum_{(n=0)}^{\infty} \frac{5}{2^n} )$ converges to the value,$\frac{1}{10}$,$\frac{5}{2}$,-5,-10,cape_2_puremathematics_may_2024_1_21,cape_2_puremathematics_may_2024_1_21_a,cape_2_puremathematics_may_2024_1_21_b,cape_2_puremathematics_may_2024_1_21_c,cape_2_puremathematics_may_2024_1_21_d
cape,2,PureMathematics,May,2024,1,22,"Sequences, Series and Approximations",Series,2,A,\text{Which of the following series diverges?},\sum_{(n=1)}^{\infty} \frac{3^n}{n^3},\sum_{(n=1)}^{\infty} \frac{\sin (n)}{n^3},\sum_{(n=1)}^{\infty} \frac{5n + 1}{2^n},\sum_{(n=1)}^{\infty} (-1)^n \frac{\sin (n)}{n^3},"LaTeX(""Which of the following series diverges?"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(n=1)}^{\\infty} \\frac{3^n}{n^3}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(n=1)}^{\\infty} \\frac{\\sin (n)}{n^3}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(n=1)}^{\\infty} \\frac{5n + 1}{2^n}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sum_{(n=1)}^{\\infty} (-1)^n \\frac{\\sin (n)}{n^3}$"").parsingMode(.onlyEquations)",Which of the following series diverges?,$\sum_{(n=1)}^{\infty} \frac{3^n}{n^3}$,$\sum_{(n=1)}^{\infty} \frac{\sin (n)}{n^3}$,$\sum_{(n=1)}^{\infty} \frac{5n + 1}{2^n}$,$\sum_{(n=1)}^{\infty} (-1)^n \frac{\sin (n)}{n^3}$,cape_2_puremathematics_may_2024_1_22,cape_2_puremathematics_may_2024_1_22_a,cape_2_puremathematics_may_2024_1_22_b,cape_2_puremathematics_may_2024_1_22_c,cape_2_puremathematics_may_2024_1_22_d
cape,2,PureMathematics,May,2024,1,28,"Sequences, Series and Approximations",Series,1,C,\text{The value of } ( \sum_{(n=0)}^{\infty} x^n ) \text{ for } ( |x| < 1 ) \text{ is},\frac{1}{x},\frac{1}{x^2},\frac{1}{1-x},\frac{1}{1-x^n},"LaTeX(""The value of $( \\sum_{(n=0)}^{\\infty} x^n )$ for $( |x| < 1 )$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{x}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{x^2}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{1-x}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{1-x^n}$"").parsingMode(.onlyEquations)",The value of $( \sum_{(n=0)}^{\infty} x^n )$ for $( |x| < 1 )$ is,$\frac{1}{x}$,$\frac{1}{x^2}$,$\frac{1}{1-x}$,$\frac{1}{1-x^n}$,cape_2_puremathematics_may_2024_1_28,cape_2_puremathematics_may_2024_1_28_a,cape_2_puremathematics_may_2024_1_28_b,cape_2_puremathematics_may_2024_1_28_c,cape_2_puremathematics_may_2024_1_28_d
cape,2,PureMathematics,May,2024,1,29,"Sequences, Series and Approximations",Series,2,D,\text{The value of } ( \sum_{(n=1)}^{\infty} 2(\frac{1}{4})^{n-1} ) \text{ is},0,\frac{3}{2},-2,\frac{8}{3},"LaTeX(""The value of $( \\sum_{(n=1)}^{\\infty} 2(\\frac{1}{4})^{n-1} )$ is"").parsingMode(.onlyEquations)","LaTeX(""( 0 )"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{3}{2}$"").parsingMode(.onlyEquations)","LaTeX(""( 2 )"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{8}{3}$"").parsingMode(.onlyEquations)",The value of $( \sum_{(n=1)}^{\infty} 2(\frac{1}{4})^{n-1} )$ is,0,$\frac{3}{2}$,-2,$\frac{8}{3}$,cape_2_puremathematics_may_2024_1_29,cape_2_puremathematics_may_2024_1_29_a,cape_2_puremathematics_may_2024_1_29_b,cape_2_puremathematics_may_2024_1_29_c,cape_2_puremathematics_may_2024_1_29_d
cape,2,PureMathematics,May,2025,1,1,Complex Numbers and Calculus 2,Complex Numbers,1,A,\text{The modulus of the complex number } ( \frac{1}{2} - \frac{1}{2}i ) \text{ is},\frac{1}{\sqrt{2}},\frac{1}{2 \sqrt{2}},\sqrt{2},2 \sqrt{2},"LaTeX(""The modulus of the complex number $( \\frac{1}{2} - \\frac{1}{2}i )$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{\\sqrt{2}}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{2 \\sqrt{2}}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{2}$"").parsingMode(.onlyEquations)","LaTeX(""$2 \\sqrt{2}$"").parsingMode(.onlyEquations)",The modulus of the complex number $( \frac{1}{2} - \frac{1}{2}i )$ is,$\frac{1}{\sqrt{2}}$,$\frac{1}{2 \sqrt{2}}$,$\sqrt{2}$,$2 \sqrt{2}$,cape_2_puremathematics_may_2025_1_1,cape_2_puremathematics_may_2025_1_1_a,cape_2_puremathematics_may_2025_1_1_b,cape_2_puremathematics_may_2025_1_1_c,cape_2_puremathematics_may_2025_1_1_d
cape,2,PureMathematics,May,2025,1,6,Complex Numbers and Calculus 2,Complex Numbers,2,D,\text{The principal value of the argument of the complex number } ( -2 + 2i ) \text{ is},-\frac{3 \pi}{4},-\frac{\pi}{4},\frac{\pi}{4},\frac{3 \pi}{4},"LaTeX(""The principal value of the argument of the complex number $( -2 + 2i )$ is"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{3 \\pi}{4}$"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{\\pi}{4}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{\\pi}{4}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{3 \\pi}{4}$"").parsingMode(.onlyEquations)",The principal value of the argument of the complex number $( -2 + 2i )$ is,$-\frac{3 \pi}{4}$,$-\frac{\pi}{4}$,$\frac{\pi}{4}$,$\frac{3 \pi}{4}$,cape_2_puremathematics_may_2025_1_6,cape_2_puremathematics_may_2025_1_6_a,cape_2_puremathematics_may_2025_1_6_b,cape_2_puremathematics_may_2025_1_6_c,cape_2_puremathematics_may_2025_1_6_d
cape,2,PureMathematics,May,2025,1,7,Complex Numbers and Calculus 2,Complex Numbers,2,B,"\text{Given that } ( z = -1 + \sqrt{3}i ), \text{ then the exponential form of the complex number } ( z ) \text{ is}",2e^{i\frac{\pi}{6}},2e^{i\frac{2 \pi}{3}},2e^{i\frac{5 \pi}{6}},2e^{i\frac{\pi}{3}},"LaTeX(""Given that $( z = -1 + \\sqrt{3}i ),$ then the exponential form of the complex number $( z )$ is"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{\\pi}{6}}$"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{2 \\pi}{3}}$"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{5 \\pi}{6}}$"").parsingMode(.onlyEquations)","LaTeX(""$2e^{i\\frac{\\pi}{3}}$"").parsingMode(.onlyEquations)","Given that $( z = -1 + \sqrt{3}i ),$ then the exponential form of the complex number $( z )$ is",$2e^{i\frac{\pi}{6}}$,$2e^{i\frac{2 \pi}{3}}$,$2e^{i\frac{5 \pi}{6}}$,$2e^{i\frac{\pi}{3}}$,cape_2_puremathematics_may_2025_1_7,cape_2_puremathematics_may_2025_1_7_a,cape_2_puremathematics_may_2025_1_7_b,cape_2_puremathematics_may_2025_1_7_c,cape_2_puremathematics_may_2025_1_7_d
